File,Human_LIC,Model_LIC,Bias_Amp,Timestamp
clip_cap_baseline.csv,0.7237 ± 0.0084,0.7398 ± 0.0101,0.0161,2026-03-23 12:13:46
clipcap_debiased.csv,0.7241 ± 0.0089,0.7380 ± 0.0116,0.0139,2026-03-23 12:29:23
clip_cap_baseline.csv,0.7238 ± 0.0085,0.7398 ± 0.0101,0.0160,2026-03-23 13:06:29
clipcap_debiased.csv,0.7228 ± 0.0077,0.7380 ± 0.0116,0.0152,2026-03-23 13:21:30
clip_cap_baseline.csv,0.7236 ± 0.0082,0.7398 ± 0.0101,0.0162,2026-03-23 14:06:15
clipcap_debiased.csv,0.7235 ± 0.0081,0.7380 ± 0.0116,0.0145,2026-03-23 14:22:46
clip_cap_baseline.csv,0.7226 ± 0.0069,0.7410 ± 0.0120,0.0183,2026-03-24 20:23:25
clip_cap_baseline.csv,0.7226 ± 0.0069,0.7410 ± 0.0120,0.0183,2026-03-24 20:23:25
clipcap_debiased.csv,0.7226 ± 0.0069,0.7380 ± 0.0094,0.0154,2026-03-24 21:09:27
clipcap_debiased.csv,0.7226 ± 0.0069,0.7380 ± 0.0094,0.0154,2026-03-24 21:09:27
clipcap_debiased_sfid_debiased.csv,0.7226 ± 0.0069,0.7398 ± 0.0089,0.0172,2026-03-26 02:01:00
clip_cap_sfid_['decoder']_50_50_0.9_features.csv,0.7171 ± 0.0079,0.7428 ± 0.0066,0.0258,2026-03-26 02:54:13
"clip_cap_sfid_['decoder', 'encoder']_50_50_0.9_features.csv",0.7171 ± 0.0079,0.7026 ± 0.0075,-0.0145,2026-03-26 03:40:46
clip_cap_baseline.csv,0.7230 ± 0.0106,0.7378 ± 0.0128,0.0147,2026-03-26 12:33:31
clipcap_debiased.csv,0.7230 ± 0.0106,0.7382 ± 0.0100,0.0152,2026-03-26 12:48:47
